"X"	"Y"	"B07"	"B06"	"B05"	"B04"	"B03"	"B02"	"B01"
462311.000000	6977651.000000	97.055206	67.144257	18.970173	11.074353	12.184759	5.000000	5.000000
462341.000000	6977651.000000	96.466309	66.863121	19.129969	10.803545	12.066486	5.000000	5.000000
462371.000000	6977651.000000	95.549110	67.085449	19.538111	11.036027	12.483632	6.374349	7.000000
462401.000000	6977651.000000	94.350983	69.308678	25.674404	18.538662	16.027361	6.900270	7.000000
462431.000000	6977651.000000	93.719368	74.369240	38.189976	24.431786	19.100439	10.291718	11.000000
461531.000000	6977681.000000	91.098419	71.873024	40.717495	29.549580	23.956818	7.000000	7.000000
461561.000000	6977681.000000	90.269722	64.595413	19.190832	8.977788	11.839400	7.000000	7.000000
461591.000000	6977681.000000	94.609154	63.914669	14.957335	7.443929	10.639111	5.085329	5.000000
461621.000000	6977681.000000	96.864197	64.737144	14.872951	7.000000	10.414913	5.000000	5.000000
461651.000000	6977681.000000	98.516953	65.000000	14.000000	6.963821	10.000000	5.000000	5.000000
461681.000000	6977681.000000	99.296761	65.296761	14.000000	6.930015	10.567398	5.000000	5.000000
461711.000000	6977681.000000	100.000000	65.389908	14.000000	6.362617	10.000000	5.000000	5.000000
461741.000000	6977681.000000	99.533524	66.000000	14.466477	6.995308	10.000000	5.000000	5.000000
461771.000000	6977681.000000	98.143616	66.000000	15.000000	7.010051	10.839147	5.000000	5.000000
461801.000000	6977681.000000	98.026100	66.052193	15.052194	7.054020	10.390540	5.000000	5.000000
461831.000000	6977681.000000	98.866913	67.733826	16.733826	8.387809	11.480025	5.000000	5.000000
461861.000000	6977681.000000	99.619156	67.360161	16.226994	7.139890	10.188280	5.000000	5.000000
461891.000000	6977681.000000	100.945877	66.961830	14.696031	7.028994	10.544724	5.000000	5.000000
461921.000000	6977681.000000	101.008781	66.382103	14.780438	6.687880	10.065371	5.000000	5.000000
461951.000000	6977681.000000	101.414917	68.265831	15.999603	7.198457	10.844098	5.000000	5.000000
461981.000000	6977681.000000	101.000000	70.000000	17.680080	9.509340	12.145334	5.000000	5.000000
462011.000000	6977681.000000	100.684952	69.562111	17.365032	9.660078	12.295047	5.000000	5.000000
462041.000000	6977681.000000	101.061401	67.935486	15.700262	7.292688	10.344382	5.000000	5.000000
462071.000000	6977681.000000	102.700775	68.085098	15.149509	7.505488	10.660573	5.000000	5.000000
462101.000000	6977681.000000	101.548599	68.445114	16.580477	8.440643	11.234684	5.000000	5.000000
462131.000000	6977681.000000	98.558281	67.428772	18.009357	9.577770	11.870013	5.000000	5.000000
462161.000000	6977681.000000	99.750061	66.930016	15.319920	7.707106	10.695453	5.000000	5.000000
462191.000000	6977681.000000	100.765266	66.987694	15.465523	7.781494	10.892740	5.000000	5.000000
462221.000000	6977681.000000	99.806557	67.000000	16.604000	8.604000	11.235502	5.000000	5.000000
462251.000000	6977681.000000	98.240685	68.116692	19.263083	10.546920	12.261022	5.000000	5.000000
462281.000000	6977681.000000	98.074257	67.908775	18.908773	10.365136	12.068182	5.111274	5.000000
462311.000000	6977681.000000	97.233658	67.000000	18.514786	10.397447	11.766396	5.680080	6.000000
462341.000000	6977681.000000	96.333336	67.203362	19.263350	10.259937	11.569942	5.680080	6.000000
462371.000000	6977681.000000	95.022903	67.704826	20.440483	11.646981	12.568398	7.126556	8.000000
462401.000000	6977681.000000	93.853935	68.628349	24.601809	16.199432	15.182701	7.680080	8.000000
462431.000000	6977681.000000	94.289330	75.986015	44.733662	20.792646	17.617956	10.504437	11.000000
461531.000000	6977711.000000	92.018196	72.734406	39.396221	28.985455	24.533499	7.000000	7.000000
461561.000000	6977711.000000	90.928543	64.719460	19.389767	8.439950	11.439950	7.000000	7.000000
461591.000000	6977711.000000	93.869118	63.953915	15.397604	7.952523	10.952523	5.085329	5.000000
